dates,ids,names,monthly_listeners,popularity,followers,genres,first_release,last_release,num_releases,num_tracks,playlists_found,feat_track_ids
01/04/2024,0T7JQxpy1Li93vLNirbv0Z,mad season,568020,49,598724,"alternative metal, alternative rock, blues rock, grunge, supergroup",1995,1995,2,26,Grunge Forever,"3e2fDgC93LGc9Lbdvr6I9k, 5DRUgJmwLvCHQjiFzb4LSQ"
01/04/2024,0TjAAwE04BeoSeOpJIakYH,little may,221557,38,51747,indie folk,2014,2019,4,5,Sunrise Run,7L3WVfrpwUN07jkvZg1vrP
01/04/2024,0TjAAwE04BeoSeOpJIakYH,little may,221557,38,51747,indie folk,2014,2019,4,5,Sunrise Run,7L3WVfrpwUN07jkvZg1vrP
